 19.85 36.38 29.12 23.88 17.80 26.94 28.47 18.69 35.93 27.29 11.41 29.68 18.09 32.88 17.51 26.32 27.81 30.55 22.26 19.63 25.85 30.39 18.05 17.77 26.51 24.06 18.69 20.20 18.58 26.44
 16.87 33.68 25.57 20.71 15.65 24.28 24.62 15.58 32.59 23.86 7.70 26.72 15.13 29.64 15.46 22.97 24.00 27.57 19.73 16.97 23.20 27.69 14.94 15.66 23.55 21.06 16.81 17.43 16.31 23.59
 13.08 29.67 21.20 16.49 12.86 20.72 20.32 11.77 28.35 19.87 3.45 23.02 11.51 25.69 12.91 18.94 19.26 23.69 16.80 14.11 19.99 24.53 11.65 12.85 19.97 17.18 14.44 14.24 13.94 20.19
 9.09 25.28 16.53 12.33 9.83 17.04 15.83 7.82 24.20 15.92 -0.77 19.26 7.76 21.62 10.24 14.73 14.25 19.77 13.83 10.96 16.57 21.35 8.09 9.86 16.26 13.16 11.88 11.03 11.30 16.71
 6.36 21.66 13.22 9.32 8.06 14.44 12.68 5.34 20.92 12.91 -3.67 16.65 5.21 18.50 8.72 11.74 10.30 16.90 12.13 9.24 14.56 19.43 6.26 8.12 13.65 10.05 10.34 8.95 9.91 14.12
 3.42 17.67 9.47 6.03 6.02 11.72 9.31 2.88 17.80 10.07 -6.49 13.80 2.76 15.11 7.16 8.61 6.29 13.94 10.41 7.45 12.23 17.33 4.16 6.17 11.04 7.16 9.01 6.98 8.50 11.67
 0.58 13.81 6.39 3.25 4.21 9.41 6.77 0.77 14.76 7.34 -8.89 11.37 0.62 11.98 5.71 5.97 2.40 11.27 9.51 5.94 10.56 15.97 2.93 4.58 8.58 4.16 7.49 5.18 7.46 9.53
 -1.04 10.97 4.06 1.19 3.34 7.75 4.83 -0.36 12.92 5.91 -10.49 9.79 -0.71 9.63 5.24 4.18 -0.08 9.50 9.33 5.36 9.52 15.10 2.36 3.91 7.41 2.60 7.34 4.56 7.02 8.32
 -2.90 7.76 2.30 -0.60 2.35 6.48 3.69 -1.41 11.29 4.58 -11.45 8.48 -1.82 7.70 4.79 2.66 -2.73 8.18 9.60 5.01 8.89 15.19 2.32 3.05 6.21 0.62 6.81 3.96 7.28 7.29
 -3.96 5.44 1.12 -1.72 1.75 5.59 2.88 -1.74 10.42 3.95 -11.80 7.64 -2.31 6.22 4.55 1.81 -4.29 7.14 10.02 4.99 8.59 15.13 2.77 2.64 5.62 -0.37 6.69 3.93 7.45 6.87
 -4.91 3.29 0.31 -2.70 1.45 4.97 2.60 -1.95 9.73 3.56 -11.86 7.01 -2.58 5.03 4.68 1.15 -5.52 6.43 10.86 5.21 8.58 15.57 3.42 2.41 5.37 -1.30 7.02 4.03 8.10 6.56
